,job,money,skill,ink,area,jobDes,inkDes
231,应用运维二线(J10759),15k-25k,科技金融 Python Shell MySQL,建信金科,[北京·展览路],“发展空间大，团队氛围好，公司福利多”,科技金融 / 不需要融资 / 2000人以上
232,大数据运维二线(J10758),15k-25k,科技金融 Python Linux Kubernetes(K8s) Swam Docker,建信金科,[北京·展览路],“发展空间大，团队氛围好，公司福利多”,科技金融 / 不需要融资 / 2000人以上
233,运维工程师（阿里云）,8k-12k,IT技术服务｜咨询 软件服务｜咨询 JAVA C语言 Linux,国科科技,[成都·光华],“项目优质， 团队氛围好”,"软件服务｜咨询,IT技术服务｜咨询 / 未融资 / 150-500人"
234,高级IT运维工程师,8k-12k,软件服务｜咨询 Python SQL Server ORACLE 安全 配置管理,绿云,[杭州·西湖区],“周末双休、带薪年假、股票期权、午餐补贴”,"软件服务｜咨询,IT技术服务｜咨询 / C轮 / 500-2000人"
235,大数据运维工程师,13k-20k,网络通信 Linux 集群运维,润通丰华,[北京·北下关],“13薪，额外年终奖（1-3个月），可办理工作居住证”,IT技术服务｜咨询 / 不需要融资 / 50-150人
236,数据库运维工程师,12k-18k,新零售 MySQL Windows Linux DBA,西西弗书店,[重庆·大坪],“五险一金、节日福利、氛围融洽”,新媒体 / 不需要融资 / 2000人以上
237,系统运维工程师,5k-9k,Windows ORACLE Tomcat,财新数据科技有限公司,[武汉·光谷],“五险一金 定期体检 周末双休”,金融业 / 未融资 / 50-150人
238,运维工程师,11k-21k,区块链 人工智能服务,引元科技,[天津·陈塘庄],“天津大学合作；政府支持；技术大咖”,"数据服务｜咨询,IT技术服务｜咨询,区块链 / 未融资 / 15-50人"
239,运维经理,40k-60k,软件服务｜咨询 JAVA Python MySQL TCP/IP Kubernetes(K8s),领星,[深圳·西丽],“高速增长 扁平管理 团队氛围好 文化活泼”,"软件服务｜咨询,数据服务｜咨询 / C轮 / 500-2000人"
240,运维工程师,9k-15k,移动互联网 证券/期货 Linux Zabbix MySQL,上海咏鸣,[上海·徐家汇],"“金融行业,岗位稳定,技术新”","移动互联网,金融 / 不需要融资 / 15-50人"
241,专有云环境运维工程师（CSIG子公司）（ 西安/武汉）,30k-60k,游戏 社交媒体,腾讯,[深圳·南山区],"“互联网大厂,公司氛围好”","游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上"
242,运维工程师,10k-14k,IT技术服务｜咨询 金融业 Linux Zabbix 系统运维,京北方,[上海·张江],“大型金融项目，技术新，项目稳定”,IT技术服务｜咨询 / 上市公司 / 2000人以上
243,网络运维工程师,10k-12k,金融业 IT技术服务｜咨询 Linux 交换机 路由器 负载均衡,京北方,[上海·浦东新…],“国企，轻松，待遇好”,IT技术服务｜咨询 / 上市公司 / 2000人以上
244,系统运维工程师(J10369),15k-25k,科技金融 Python GO Linux,建信金科,[北京·太平桥],“发展空间大，团队氛围好，公司福利多”,科技金融 / 不需要融资 / 2000人以上
245,软件运维工程师,5k-8k,软件服务｜咨询 C语言 JAVA SQL,上海企望,[济南·历下区],“技术大亨、晋升空间 、行业前景 、专业培训”,软件服务｜咨询 / 未融资 / 50-150人
246,中级运维工程师,15k-20k,MySQL Linux Kubernetes(K8s) 工业互联网 devops,要务科技,[广州·赤岗],“扁平化管理 技术大牛 部门团建”,物联网 / A轮 / 150-500人
