,job,money,skill,ink,area,jobDes,inkDes
205,数据库开发工程师,10k-15k,科技金融 Python ETL,汇合,[深圳·南山区],“季度绩效奖金”,科技金融 / 不需要融资 / 2000人以上
206,数据库管理工程师,11k-19k,物联网 能源｜矿产｜环保 Python MySQL ORACLE Linux,柯内特,[广州·天河区],“优质团队”,"数据服务,软件开发 / B轮 / 50-150人"
207,DBA,18k-35k,软件服务｜咨询 ORACLE PostgreSQL(PSQL),人大金仓,[成都·高新区],“六险一金，定期体检，餐补交补，年底奖金”,数据服务｜咨询 / 不需要融资 / 150-500人
208,DBA工程师,20k-35k,社交平台 游戏 MySQL,雅乐科技,[杭州·拱墅区],“六险一金、周末双休、加班补贴、带薪年假”,社交平台 / 上市公司 / 500-2000人
209,数据库引擎研发工程师,25k-40k,人工智能服务 IT技术服务｜咨询 JAVA C++ SQL,Gridsum 国双,[北京·学院路],“大平台”,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 500-2000人"
210,数据库工程师,20k-30k,电商平台 IT技术服务｜咨询 PHP Python MySQL Linux,卓望,[北京·五道口],“大平台、七险二金、房补、饭补、交通补”,移动互联网 / 不需要融资 / 2000人以上
211,DBA工程师,13k-20k,网络通信 DB2,广州天越电子科技有限公司,[广州·官洲],“五险一金 双休 13薪”,网络通信 / 不需要融资 / 150-500人
212,高级NoSQL数据库开发工程师,20k-40k,物联网 IT技术服务｜咨询 Python MySQL,天翼云科技有限公司,[广州·新港],“六险二金、平台大，扁平化管理、央企福利”,"数据服务｜咨询,人工智能服务 / 上市公司 / 500-2000人"
213,DBA数据库管理员（MySQL）,20k-40k,人工智能服务 数据服务｜咨询 Python Linux 自动化运维,丁香园,[杭州·滨江区],“推动中国医疗改变”,在线医疗 / D轮及以上 / 500-2000人
214,DBA专家,25k-40k,科技金融 MySQL,信也科技,[上海·张江],“无996，无PUA，团队nice，技术好”,"科技金融,人工智能服务 / 上市公司 / 2000人以上"
215,智能物联平台dba,25k-50k,能源｜矿产｜环保 MySQL PostgreSQL(PSQL) Hadoop,新奥新智,[北京·望京],“行业前景 公司发展 团队氛围 个人晋升”,"能源｜矿产｜环保,物联网,人工智能服务 / 不需要融资 / 2000人以上"
216,dba专家,20k-35k,软件服务｜咨询 PostgreSQL(PSQL) MySQL ORACLE 云计算,腾云悦智,[广州·黄埔区],“腾讯生态系 平台大 发展迅速”,人工智能服务 / 不需要融资 / 500-2000人
217,数据库开发工程师,15k-30k,IT技术服务｜咨询 金融业 C# SQL Server MySQL ORACLE,广发信息咨询服务,[深圳·福田区],“平台大，加班少”,"科技金融,专业服务｜咨询,金融业 / 未融资 / 50-150人"
218,高级dba工程师,18k-28k,科技金融 MySQL ORACLE,森浦Sumscope,[上海·陆家嘴],“行业领先 发展空间大 福利年假 商业保险”,"科技金融,金融业 / C轮 / 500-2000人"
219,DBA工程师/架构师,15k-30k,新能源汽车制造 SQL Server MySQL ORACLE,大圣科技,[广州·海珠区],“六险一金，福利好，团队融洽”,"人工智能服务,数据服务｜咨询 / A轮 / 150-500人"
220,数据库工程师(J10035),15k-25k,电商平台 科技金融 SQL MySQL ORACLE Prometheus Zabbix,汇付,[上海·虹梅路],“六险一金，带薪年假”,科技金融 / 上市公司 / 500-2000人
221,KJC-DBA高级工程师(DBA方向) (MJ000096),25k-35k,科技金融 Python Shell GO MySQL oracle,微众银行,[深圳·大冲],“五险一金 带薪年假 绩效奖金”,科技金融 / 未融资 / 2000人以上
222,DBA 数据库技术专家,15k-30k,软件服务｜咨询 在线医疗 SQL Delphi SQL Server ORACLE,延华医疗研究院,[成都·涌泉],“发展前景好，有大牛指导”,"IT技术服务｜咨询,数据服务｜咨询 / 上市公司 / 150-500人"
223,数据库开发工程师(J423711),10k-15k,ORACLE MySQL SQL,我爱我家集团,[北京·朝阳区],“晋升发展空间 核心业务”,房地产｜建筑｜物业 / 上市公司 / 2000人以上
224,高级Java开发工程师（数据库）14518,25k-45k,工具类产品 Spring MyBatis MySQL,OPPO,[成都·高新区],"“弹性工作,精英团队,发展空间大,团队大牛多”",智能硬件 / 不需要融资 / 2000人以上
