,job,money,skill,ink,area,jobDes,inkDes
192,ios高级开发工程师,30k-60k,IT技术服务｜咨询 科技金融 Swift,万得,[上海·周家桥],“最大程度提高开发效率”,数据服务｜咨询 / 不需要融资 / 2000人以上
193,测试开发工程师,30k-60k,JAVA 互联网金融,,[深圳·南油],“待遇好 平台大 技术驱动 双休”,其他 / 不需要融资 / 2000人以上
194,Android高级工程师/专家,30k-60k,移动客户端开发 互联网,某知名互联网公司,[上海·延吉],“知名互联网公司，薪酬福利待遇好”,
195,Android高级工程师/专家,30k-60k,移动客户端开发 互联网,某知名互联网公司,[杭州·西湖区],“知名互联网公司，薪酬福利待遇好”,
196,高级图像算法工程师,25k-40k,AI AR,,[成都·武侯区],“弹性上班、周末双休、带薪病假、股权激励”,物联网 / 未融资 / 15-50人
197,后端高级研发工程师（c++方向）,20k-40k,金融业 科技金融 STL Linux Windows,某知名企业,[广州·珠江新…],“头部券商andriod开发”,
198,iOS开发工程师-飞书开放平台,30k-60k,后端开发,字节跳动,[杭州·余杭区],"“下午茶,健身瑜伽,六险一金,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
199,iOS开发工程师-抖音社交,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
200,Android研发工程师-抖音社交,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
201,iOS研发工程师-抖音社交,40k-80k,后端开发,字节跳动,[北京·海淀区],"“下午茶,六险一金,带薪休假,扁平管理”","内容资讯,短视频 / D轮及以上 / 2000人以上"
202,抖音搜索iOS研发工程师,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
203,客户端 Leader-生活服务,50k-100k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
204,iOS研发工程师-生活服务,40k-80k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
205,Android研发-生活服务,40k-80k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
206,Android高级研发工程师（国际化产品）,26k-52k,JAVA Kotlin,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
207,Android高级研发/架构 — 抖音电商,30k-60k,JAVA Kotlin,字节跳动,[杭州·余杭区],"“下午茶,健身瑜伽,六险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
208,iOS高级研发/架构 — 抖音电商,30k-60k,Objective-C,字节跳动,[杭州·余杭区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
209,Android研发工程师-抖音/直播,30k-60k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
210,iOS研发工程师-抖音/直播,30k-60k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
211,C++高级开发工程师(北京/上海/杭州),20k-40k,C语言 移动客户端开发,字节跳动,[北京·海淀区],"“六险一金,大牛带队,健身瑜伽,用户过亿”","内容资讯,短视频 / D轮及以上 / 2000人以上"
212,iOS开发高级/资深工程师,20k-40k,Objective-C Swift,字节跳动,[深圳·南山区],"“弹性工作,免费三餐,下午茶,晋升空间大”","内容资讯,短视频 / D轮及以上 / 2000人以上"
213,iOS 高级研发工程师（国际化产品）,20k-40k,Objective-C Swift,字节跳动,[上海·闵行区],"“下午茶,团队氛围好,扁平管理,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
214,资深iOS开发工程师,30k-60k,Objective-C Swift,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
215,Android研发工程师-抖音-隐私合规,30k-60k,JAVA,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
216,iOS研发工程师-抖音-隐私合规,30k-60k,Objective-C,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
217,Android开发（高级）工程师-房产（北/上/杭）,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
