,job,money,skill,ink,area,jobDes,inkDes
143,硬件研发工程师,25k-50k,电商平台 新零售 示波器 信号发生器,君禾世纪,[深圳·大冲],“集团公司，弹性工作，发展潜力大”,移动互联网 / 不需要融资 / 500-2000人
144,TWS耳机结构工程师,8k-13k,智能硬件 制造业,安声科技,[深圳·西丽],“六险一金，导师帮带”,"移动互联网,电商 / B轮 / 50-150人"
145,硬件系统工程师,10k-20k,智能硬件 示波器 机器人,Syrius Robotics,[深圳·西丽],“发展空间大，扁平化管理”,智能硬件 / B轮 / 150-500人
146,硬件工程师,10k-20k,物联网 智能硬件 C语言 Linux MCU Altium,,[上海·宝山区],“补充医疗、带薪病假”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 少于15人"
147,硬件工程师,15k-30k,智能硬件 人工智能服务,之江实验室,[杭州·余杭区],“学习发展空间大；科研单位；”,智能硬件 / 不需要融资 / 500-2000人
148,硬件工程师（工作地点绍兴）,17k-33k,智能硬件 Linux,北大科创中心,[广州·广卫],“优秀团队优渥待遇 优质生活”,"人工智能服务,IT技术服务｜咨询,网络通信 / 不需要融资 / 15-50人"
149,硬件工程师,18k-25k,物联网 人工智能服务 FPGA PADS 原理图设计 PCB设计 AD,ITLONG,[深圳·南山区],“团队氛围好，薪资待遇佳，不加班，项目奖金”,"IT技术服务｜咨询,物联网 / 不需要融资 / 150-500人"
150,硬件工程师,18k-25k,物联网 人工智能服务 FPGA PADS 原理图设计 PCB设计 AD,ITLONG,[深圳·南山区],“团队氛围好，薪资待遇佳，不加班，项目奖金”,"IT技术服务｜咨询,物联网 / 不需要融资 / 150-500人"
151,硬件工程师（工作地点绍兴）,17k-33k,智能硬件 Linux,北大科创中心,[北京·北下关],“优秀团队优渥待遇 优质生活”,"人工智能服务,IT技术服务｜咨询,网络通信 / 不需要融资 / 15-50人"
152,高级结构工程师,20k-40k,智能硬件 医疗｜保健｜美容 消费电子,深纳普思人工智能,[北京·西北旺],“行业蓝海，大牛带队，年终奖金，中医理疗”,人工智能服务 / A轮 / 150-500人
153,硬件工程师,12k-18k,智能硬件 示波器 信号发生器 频谱仪 Cadence PADS TOF,光感科技,[深圳·大冲],“扁平化管理 直线汇报 领导nice”,"软件服务｜咨询,数据服务｜咨询,人工智能服务 / 天使轮 / 15-50人"
154,硬件工程师,20k-30k,网络通信 Android 消费电子 终端,成都鼎桥通信技术有限公司,[上海·金桥],“完善福利待遇、晋升空间、稳定大平台”,其他 / 不需要融资 / 500-2000人
155,自动驾驶硬件开发专家,20k-40k,新能源汽车制造,小鹏汽车,[广州·天河区],“自动驾驶 双休”,"制造业,智能硬件 / 上市公司 / 2000人以上"
156,硬件工程师,8k-15k,硬件开发 单片机 PCB工艺,智洋创新,[济南·高新区],“大牛带队、五险一金、年终奖金、即时激励”,"人工智能,软件开发 / 上市公司 / 500-2000人"
157,嵌入式硬件工程师,10k-20k,智能硬件 Cadence Altium PADS Allegro 无人机,ARTOM,[深圳·龙华新…],“周末双休，每日下午茶、每周体育活动”,硬件 / A轮 / 15-50人
158,高级硬件工程师,20k-40k,硬件开发,美团,[北京·望京],“核心业务”,消费生活 / 上市公司 / 2000人以上
159,硬件测试工程师,8k-12k,人工智能服务 IT技术服务｜咨询 示波器 频谱仪 网络分析仪 万用表,中软国际科技服务有限公司,[北京·海淀区],“有市场前景的项目”,IT技术服务｜咨询 / 上市公司 / 2000人以上
160,高级硬件系统工程师,20k-40k,智能硬件 示波器 机器人,Syrius Robotics,[深圳·西丽],“发展空间大，扁平化管理”,智能硬件 / B轮 / 150-500人
161,tws耳机结构工程师,10k-20k,智能硬件 工具类产品,安声科技,[深圳·西丽],“六险一金，双休”,"移动互联网,电商 / B轮 / 50-150人"
