,tag,job,low_wages,hight_wages,year_wages,city,ink,staff,skill,jobDes,inkDes
763,2,WEB前端开发工程师,12.0,18.0,180.0,深圳,深圳映美卡莫网络有限公司,150,"JavaScript,Angular","前景好,周末双休,五险一金","软件服务,咨询,数据服务,咨询,智能硬件,不需要融资"
764,2,web前端开发工程师,13.0,25.0,228.0,北京,数科网维,500,"Html,React,Vue","年终奖,项目奖,弹性办公,团建,年度旅游","软件服务,咨询,未融资"
765,2,web前端开发工程师,15.0,30.0,270.0,北京,快乐小清智能,15,"Vue,React,Html,HTML,CSS",扁平化管理,
766,2,web前端开发工程师,11.0,17.0,168.0,南京,屹通信息,2000,IT,"薪,五险一金,每年两次涨薪机会","金融,数据服务,上市公司"
767,2,web前端开发工程师,13.0,24.0,222.0,杭州,百世物流,2000,"JAVA,JavaScript,HTML,CSS","上市公司,弹性工作,大牛带教","物流,运输,上市公司"
768,2,web前端开发工程师,20.0,40.0,360.0,上海,每平每屋设计家,500,"JavaScript,TypeScript","有挑战的事,上升空间大","新零售,工具类产品,不需要融资"
769,2,web前端开发工程师,13.0,22.0,210.0,杭州,邦睿科技,500,,"弹性工作,五险一金,带薪培训,定期体检","企业服务,工具,金融,不需要融资"
770,2,web前端开发工程师,12.0,20.0,192.0,上海,旭荣网络,150,"HTML,Html,CSS,Vue","年终奖,年,次调薪机会,带薪年假,补充医保","IT技术服务,咨询,不需要融资"
771,2,web前端开发工程师,15.0,30.0,270.0,上海,三赢奋斗者创新人才管理,500,Vue,五险一金,"消费生活,电商,不需要融资"
772,2,web前端开发工程师,10.0,15.0,150.0,成都,成都优卡信息科技,500,"JavaScript,HTML","六险一金,周末双休","软件服务,咨询,IT技术服务,咨询,不需要融资"
773,2,web前端开发工程师,13.0,16.0,174.0,北京,朗程科技,15,Vue,期待你的加入,
774,2,web前端,30.0,35.0,390.0,北京,快成,2000,"React,Redux,Android","发展前景,团队氛围,薪酬福利","物流平台,A轮"
775,2,web前端/h5前端开发工程师,10.0,18.0,168.0,广州,暖暖直播,150,"MCN,JavaScript,HTML,Html,CSS","周末双休,零食下午茶","直播平台,未融资"
776,2,web前端开发工程师,13.0,26.0,234.0,杭州,杭州语聪网络科技有限公司,50,Vue,"核心岗位,前景好,待遇好","贸易,进出口,软件服务,咨询,电商平台,天使轮"
777,2,互联网业务-资讯Web前端开发工程师,18.0,35.0,318.0,深圳,富途,2000,"HTML,CSS,Vue,Node,js","上市公司,行业龙头,业务发展好,学金融投资","科技金融,上市公司"
778,2,web前端开发工程师,11.0,22.0,198.0,上海,微创软件,2000,"HTML,CSS,React,Vue","技术能力提升,舒适的办公环境","IT技术服务,咨询,不需要融资"
779,2,前端开发工程师,13.0,20.0,198.0,杭州,西湖新基建数字,50,"JavaScript,CSS,Vue,Spring,MySQL","国资控股,六险一金,年度旅游,体检","软件服务,咨询,数据服务,咨询,IT技术服务,咨询,天使轮"
780,2,Web前端开发工程师(J14088),18.0,33.0,306.0,深圳,中金财富,2000,CSS,"技术新颖,团队氛围好","科技金融,不需要融资"
781,2,web前端开发工程师,14.0,20.0,204.0,广州,CLPS,2000,IT,"福利待遇高,发展前景好","软件服务,咨询,上市公司"
782,2,中级web前端开发工程师,10.0,20.0,180.0,武汉,中慈网络,2000,"JavaScript,HTML,React,Vue,Angular","发展前景优,团队氛围好","企业服务,工具,通讯电子,不需要融资"
783,2,web前端开发高级工程师,18.0,25.0,258.0,深圳,聚领,500,"Vue,Node,js","扁平化管理,领导,福利多","人工智能服务,不需要融资"
784,2,web开发前端工程师,18.0,35.0,318.0,北京,安势信息,150,Vue,"下午茶,小蛋糕,旅游,体检","信息安全,天使轮"
785,2,前端开发工程师,15.0,30.0,270.0,上海,小i机器人,2000,Web,"平台大,福利完善,团队稳定,技术大牛","智能硬件,不需要融资"
786,2,web前端开发工程师,15.0,25.0,240.0,北京,用友金融,2000,"IT,Html,CSS,React,Vue","上市公司,自有产品","IT技术服务,咨询,上市公司"
787,2,web前端开发,15.0,20.0,210.0,上海,CLPS,2000,Vue,"提供午餐,外企氛围","软件服务,咨询,上市公司"
788,2,web前端开发工程师,15.0,25.0,240.0,深圳,易流,2000,"JavaScript,Html","平台大,氛围良好,机会多,奖金多多","软件服务,咨询,IT技术服务,咨询,不需要融资"
789,2,web前端开发工程师,15.0,25.0,240.0,杭州,个推,2000,"HTML,Vue,Node,js","五险一金,周末双休,技术氛围好,发挥机会多","数据服务,咨询,上市公司"
790,2,web前端开发工程师,10.0,15.0,150.0,上海,昀活科技,50,Vue,"国家高新技术企业,技术领先型公司","IT技术服务,咨询,未融资"
791,2,高级web前端开发工程师,13.0,25.0,228.0,武汉,沃点网络,500,"JavaScript,HTML,CSS,Vue,React","双休,工作轻松稳定,有成长空间,五险一金","IT技术服务,咨询,网络通信,B轮"
792,2,资深Web前端开发工程师,20.0,35.0,330.0,上海,KLOOK 客路旅行,2000,,行业独角兽,"旅游,出行,D轮及以上"
