,job,money,skill,ink,area,jobDes,inkDes
156,后端开发工程师,20k-40k,社交平台 C++ JAVA Python Golang,牵手未来,[北京·建外大…],“氛围好 包三餐 环境好 不打卡 成长快”,社交平台 / A轮 / 150-500人
157,后端开发工程师,15k-25k,工具类产品 PHP,小鹅（小鹅通）,[深圳·科技园],“六险一金、年度体检、下午茶”,工具类产品 / D轮及以上 / 500-2000人
158,JAVA开发工程师,15k-21k,金融业 科技金融 Spring,TCL金融控股集团,[广州·黄埔区],“通讯补贴、餐补、加班补贴、季度奖金、项目奖金”,金融业 / 未融资 / 150-500人
159,java开发工程师,15k-20k,IT技术服务｜咨询 物联网,法本信息,[杭州·西溪],“大神带教薪资高”,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上"
160,java开发工程师,18k-30k,IT技术服务｜咨询 JavaScript Spring MyBatis ORACLE,中电金信,[杭州·西溪],“平台大；福利好”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
161,java开发工程师,25k-45k,科技金融,,[北京],“双休 不加班”,工具类产品 / 上市公司 / 500-2000人
162,java后台开发工程师,12k-20k,在线医疗 金融业,大韶医药健康,[深圳·南山区],“五险一金、弹性工作、绩效奖金、周末双休”,医疗|健康 / 不需要融资 / 50-150人
163,java开发工程师,20k-40k,休闲｜娱乐 音频｜视频媒体 Spring MySQL,万声音乐集团,[深圳·南山区],“工作环境舒适，福利待遇优越，同事关系融洽！”,"文化传媒,休闲｜娱乐 / B轮 / 50-150人"
164,java开发工程师,12k-20k,软件服务｜咨询,契约锁,[沈阳·胜利],“1、内研产品竞争强，2、福利待遇好”,工具类产品 / C轮 / 500-2000人
165,java开发工程师,20k-30k,IT技术服务｜咨询 软件服务｜咨询 Spring SQL Server MySQL 移动服务端开发,深圳穗彩,[深圳·南山区],“大牛团队 福利好 氛围好”,IT技术服务｜咨询 / 上市公司 / 150-500人
166,java开发工程师,15k-25k,IT技术服务｜咨询 JavaScript CSS XML Eclipse,中电金信,[北京·西北旺],“六险一金”,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
167,java开发工程师,10k-20k,金融业,壹诺恒,[深圳·新洲],“双休”,人工智能服务 / 不需要融资 / 500-2000人
